id,name,email,city,total_spent
6,Elif Şahin,customer00006@example.com,Ağrı,0
7,Fatma Arslan,customer00007@example.com,Isparta,0
8,Can Çelik,customer00008@example.com,Bolu,0
9,Zeynep Aksoy,customer00009@example.com,Bingöl,0
10,Hakan Kurt,customer00010@example.com,Amasya,0
11,Ahmet Demir,customer00011@example.com,Giresun,0
12,Can Erdoğan,customer00012@example.com,Karabük,0
13,Ahmet Aksoy,customer00013@example.com,Eskişehir,0
14,Ayşe Aksoy,customer00014@example.com,Sakarya,0
15,Can Özdemir,customer00015@example.com,Iğdır,0
16,Eren Yılmaz,customer00016@example.com,Diyarbakır,0
17,Ayşe Kurt,customer00017@example.com,Malatya,0
18,Eren Çelik,customer00018@example.com,Giresun,0
19,Seda Kılıç,customer00019@example.com,Bolu,0
20,Mustafa Koç,customer00020@example.com,Bitlis,0
21,Kerem Aslan,customer00021@example.com,Karabük,0
22,Eren Kaya,customer00022@example.com,Tekirdağ,0
23,Onur Şahin,customer00023@example.com,Muş,0
24,Mustafa Aksoy,customer00024@example.com,Kayseri,0
25,Ceren Tekin,customer00025@example.com,Mardin,0
26,Hakan Aydın,customer00026@example.com,Aydın,0
27,Mehmet Öztürk,customer00027@example.com,Kayseri,0
28,Mustafa Öztürk,customer00028@example.com,Bitlis,0
29,Berk Arslan,customer00029@example.com,Tekirdağ,0
30,Elif Aslan,customer00030@example.com,Diyarbakır,0
31,Kerem Aslan,customer00031@example.com,Gaziantep,0
32,Zeynep Arslan,customer00032@example.com,Balıkesir,0
33,Barış Yıldız,customer00033@example.com,Bayburt,0
34,Fatma Öztürk,customer00034@example.com,Diyarbakır,0
35,Kaan Koç,customer00035@example.com,İzmir,0
36,Derya Aksoy,customer00036@example.com,Gümüşhane,0
37,Zeynep Kılıç,customer00037@example.com,Artvin,0
38,Can Kaya,customer00038@example.com,Kocaeli,0
39,Berk Arslan,customer00039@example.com,Aydın,0
40,Burak Güneş,customer00040@example.com,Kocaeli,0
41,Burak Polat,customer00041@example.com,Niğde,0
42,Melis Özdemir,customer00042@example.com,Çorum,0
43,Eren Çelik,customer00043@example.com,Isparta,0
44,Fatma Aksoy,customer00044@example.com,Bayburt,0
45,Eren Güneş,customer00045@example.com,Samsun,0
46,Melis Güneş,customer00046@example.com,Ordu,0
47,Kerem Öztürk,customer00047@example.com,Çankırı,0
48,Serkan Polat,customer00048@example.com,Bingöl,0
49,Seda Kaya,customer00049@example.com,Burdur,0
50,Emre Yıldız,customer00050@example.com,Samsun,0
51,Barış Demir,customer00051@example.com,Nevşehir,0
52,Berk Tekin,customer00052@example.com,Tokat,0
